CanonicalPlayer,League,FirstTopTierYear,LastTopTierYear,TopTierYears
Fly (Song Yong-jun),LoL Champions Korea,2016,2021,2016;2017;2018;2019;2020;2021
FoFo,Tencent LoL Pro League,2020,2024,2020;2021;2022;2023;2024
Forge,Tencent LoL Pro League,2019,2023,2019;2020;2021;2022;2023
Frog (Lee Min-hoi),LoL Champions Korea,2024,2024,2024
Frozen (Kim Tae-il),LoL Champions Korea,2016,2016,2016
Funny,Tencent LoL Pro League,2015,2017,2015;2016;2017
Fury (Lee Jin-yong),LoL Champions Korea,2016,2016,2016
Fury (Lee Jin-yong),Tencent LoL Pro League,2017,2018,2017;2018
GALA,Tencent LoL Pro League,2019,2024,2019;2020;2021;2022;2023;2024
GENTLE,Tencent LoL Pro League,2018,2018,2018
GIDEON,LoL Champions Korea,2021,2024,2021;2022;2024
GIDEON,Tencent LoL Pro League,2023,2023,2023
GLFS,Tencent LoL Pro League,2024,2024,2024
GYX,Tencent LoL Pro League,2018,2018,2018
Gamin,LoL Champions Korea,2022,2022,2022
Gango,LoL Champions Korea,2019,2019,2019
Gango,Tencent LoL Pro League,2015,2015,2015
Garvey,Tencent LoL Pro League,2019,2022,2019;2020;2021;2022
Geju,Tencent LoL Pro League,2024,2024,2024
Ggoong,Tencent LoL Pro League,2017,2018,2017;2018
Ghost (Jang Yong-jun),LoL Champions Korea,2016,2022,2016;2017;2018;2019;2020;2021;2022
GimGoon,Tencent LoL Pro League,2016,2020,2016;2017;2018;2019;2020
Gloria,Tencent LoL Pro League,2019,2019,2019
GodLike,Tencent LoL Pro League,2015,2015,2015
GodV (Wei Zhen),Tencent LoL Pro League,2015,2017,2015;2016;2017
Gogoing,Tencent LoL Pro League,2015,2015,2015
Gori,LoL Champions Korea,2019,2021,2019;2021
Gori,Tencent LoL Pro League,2022,2022,2022
GorillA,LoL Champions Korea,2016,2020,2016;2017;2018;2020
Grail,Tencent LoL Pro League,2016,2017,2016;2017
Grim,Tencent LoL Pro League,2019,2019,2019
Grizzly,LoL Champions Korea,2023,2023,2023
GuGer,LoL Champions Korea,2016,2024,2016;2017;2020;2024
Gumayusi,LoL Champions Korea,2021,2024,2021;2022;2023;2024
Guoguo,Tencent LoL Pro League,2017,2019,2017;2018;2019
